mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,2021,256287254,59.3990841,24.6650494,-76,1557037169999,3.0,3.7923455,56.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.399167,24.6654731,-78,1557037175999,3.0,3.8468432,117.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3990756,24.6658503,-76,1557037181999,3.4,3.7502928,124.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3989546,24.6662174,-60,1557037187999,3.0,3.84704,113.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3988574,24.6665365,-65,1557037193999,3.0,3.4987133,120.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.398759,24.666787,-64,1557037199999,3.0,2.998606,164.0,LTE,4,,2021,322,,,
248,2,2021,256287254,59.3985737,24.6668742,-78,1557037205999,3.1,3.1389844,163.0,LTE,2,,2021,322,,,
248,2,2021,256287254,59.3983756,24.6670231,-80,1557037210999,3.0,3.4536712,165.0,LTE+,2,,2021,322,,,
248,2,2021,256287254,59.3981794,24.6670039,-80,1557037216999,3.0,3.4948869,211.0,LTE+,2,,2021,322,,,
248,2,2021,256336919,59.3979849,24.6667908,-82,1557037222999,3.0,3.4512122,197.0,LTE,3,,2021,32,,,
248,2,2021,256287254,59.3979139,24.6669482,-81,1557037228999,3.0,2.7175002,96.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.3978693,24.6671591,-80,1557037233999,3.0,1.4920353,120.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.3977459,24.6671361,-84,1557037239999,3.1,2.5795095,199.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.3975704,24.6670503,-88,1557037244999,3.0,3.0240686,199.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.3973747,24.6669417,-85,1557037250999,3.0,3.0816364,207.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.397191,24.6669249,-78,1557037256999,3.0,2.9836555,161.0,LTE+,3,,2021,322,,,
248,2,2021,256287254,59.3970511,24.6670474,-85,1557037261999,3.0,3.012669,114.0,LTE,4,,2021,322,,,
248,2,2021,256287254,59.3968909,24.6671662,-83,1557037267999,3.0,2.9680305,168.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3968344,24.6673492,-77,1557037272999,3.0,2.7519872,86.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3968447,24.6674916,-81,1557037275999,3.0,2.690666,77.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3968725,24.6676362,-75,1557037280999,3.0,1.4361929,82.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.3968951,24.6676058,-80,1557037285999,3.0,0.74889255,290.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.396887,24.6673683,-84,1557037291999,3.0,2.1515646,268.0,LTE+,4,,2021,322,,,
248,2,2021,256287254,59.39687,24.6668889,-82,1557037297999,3.0,2.8312762,269.0,LTE+,4,,2021,322,,,
248,2,2021,256336919,59.3968715,24.6664542,-83,1557037303999,3.0,3.2234483,276.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3969104,24.6659899,-72,1557037309999,3.0,3.5493956,277.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3969545,24.6656322,-70,1557037315999,3.0,3.5720809,286.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3970012,24.6653404,-74,1557037320999,3.0,3.4449542,292.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3970342,24.665204,-76,1557037326999,3.0,0.023031777,300.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3970357,24.6651956,-74,1557037332999,3.0,0.014307233,300.0,LTE,2,,2021,32,,,
248,2,2021,256336919,59.3970359,24.6651956,-75,1557037337999,3.0,0.016777823,300.0,LTE,2,,2021,32,,,
